Symbol,Date,Close,Volume
NCL,20151201,0.14,85000
NCM,20151201,11.31,3552369
NCO,20151201,0.006,95000
NDO,20151201,0.39,197
NDQ,20151201,11.24,23302
NEA,20151201,0.38,2001883
NEC,20151201,1.78,6423898
NEN,20151201,0.023,109282
NEU,20151201,0.095,1093900
NGE,20151201,0.02,292730
NGY,20151201,0.031,283500
NHC,20151201,1.86,78228
NHF,20151201,3.85,1297176
NIU,20151201,0.001,37500
NKP,20151201,0.089,110000
NML,20151201,0.025,16470
NMS,20151201,1.07,11251
NMT,20151201,0.145,766588
NOR,20151201,0.14,32861801
NPX,20151201,3.86,44028
NRR,20151201,0.064,506934
NRT,20151201,0.13,776979
NSL,20151201,0.01,3240871
NSR,20151201,1.57,1095921
NST,20151201,2.53,4717377
NSX,20151201,0.1,50000
NTC,20151201,3.15,3509720
NTU,20151201,0.14,36500
NUF,20151201,8.51,3396635
NVL,20151201,1.32,38921
NVT,20151201,4.57,973377
NWH,20151201,0.115,774757
NWS,20151201,20.13,132494
NWZ,20151201,0.05,2457078
NXM,20151201,0.079,378
NXR,20151201,0.022,327330
NXT,20151201,2.45,509505
NYO,20151201,0.001,1200000
NZO,20151201,0.4,18877
OBJ,20151201,0.055,2829563
OCC,20151201,0.37,754200
OCL,20151201,1.785,24181
OCP,20151201,1.405,4807
ODN,20151201,0.018,18268152
OEC,20151201,0.6,37500
OEL,20151201,0.023,1461832
OEX,20151201,0.014,466113
OFX,20151201,3.42,1923746
OGC,20151201,2.69,494957
OGX,20151201,0.195,50703
OGY,20151201,0.022,250150
OHE,20151201,3.17,4000
OIL,20151201,0.029,586850
OKU,20151201,0.07,197761
OLH,20151201,0.04,49600
OLV,20151201,0.12,53288
OMH,20151201,0.094,133900
OML,20151201,4.33,441591
OMT,20151201,0.042,20000
ONT,20151201,7.6,2067
OOO,20151201,18.12,5175
