Symbol,Date,Close,Volume
MZM,20151203,0.29,216106
MZN,20151203,0.007,117667
NAB,20151203,30.04,3504872
NAG,20151203,0.08,771312
NAN,20151203,1.6,590807
NCC,20151203,0.945,70425
NCK,20151203,4.07,15677
NCM,20151203,11.4,3152947
NDQ,20151203,11.17,37334
NEA,20151203,0.37,610299
NEC,20151203,1.78,5888842
NEN,20151203,0.024,302459
NHC,20151203,1.985,71597
NHF,20151203,3.85,844194
NHH,20151203,1.6,368
NKP,20151203,0.088,108408
NMI,20151203,0.018,10000
NMS,20151203,1.12,5000
NMT,20151203,0.145,282449
NOR,20151203,0.12,23064026
NPX,20151203,3.93,52158
NRR,20151203,0.062,1253721
NRT,20151203,0.13,335472
NSE,20151203,0.009,51393
NSL,20151203,0.009,410000
NSR,20151203,1.55,544771
NST,20151203,2.37,4766425
NTC,20151203,2.82,259538
NTU,20151203,0.105,467825
NUF,20151203,8.25,3694674
NVL,20151203,1.35,27230
NVT,20151203,4.48,371629
NWE,20151203,0.003,2655253
NWH,20151203,0.11,105496
NWS,20151203,20.08,157062
NWZ,20151203,0.044,2114866
NXR,20151203,0.022,74000
NXT,20151203,2.43,1063714
OAR,20151203,0.18,86700
OBJ,20151203,0.056,1533182
OCC,20151203,0.37,339575
OCL,20151203,1.93,565
ODN,20151203,0.017,3790785
OEC,20151203,0.6,500035
OEL,20151203,0.022,2446747
OEX,20151203,0.013,1351786
OFX,20151203,3.36,1730746
OGC,20151203,2.56,203280
OGX,20151203,0.195,148579
OGY,20151203,0.021,1089100
OHE,20151203,3.07,5000
OIL,20151203,0.036,162667
OMH,20151203,0.097,211319
OML,20151203,4.49,760697
ONT,20151203,7.8,2091
OOO,20151203,17.48,32388
OPG,20151203,0.5,344
ORA,20151203,2.2,3001063
ORE,20151203,1.465,263227
ORG,20151203,5.55,6307008
ORI,20151203,15.46,1575533
ORL,20151203,2.8,14481
ORN,20151203,0.02,995000
ORR,20151203,0.13,242176
OSH,20151203,8.1,9394554
OSL,20151203,0.17,2611870
OSP,20151203,0.225,128810
OTC,20151203,0.175,7500
OTH,20151203,0.575,39000
OTW,20151203,1.34,334087
OVH,20151203,0.85,748073
OVL,20151203,0.008,1575000
OVR,20151203,0.004,38385327
OZF,20151203,20.81,5577
OZG,20151203,0.125,292665
OZL,20151203,4.11,1948598
OZR,20151203,6.19,40856
PAA,20151203,0.081,96838
PAB,20151203,0.009,454109
PAC,20151203,6.7,23367
PAF,20151203,0.955,121596
PAI,20151203,1.04,96288
PAN,20151203,0.22,276760
PAR,20151203,0.31,17145
PAY,20151203,7,25000
PBG,20151203,0.695,1824818
PBP,20151203,0.38,284344
PBT,20151203,0.125,56790
PDM,20151203,0.001,500000
PDN,20151203,0.23,8633893
PDZ,20151203,0.19,116102
PEH,20151203,0.175,17761
PEK,20151203,0.06,290000
PEN,20151203,1.215,126847
PEP,20151203,3.45,4568
PEX,20151203,0.16,35000
PFG,20151203,0.095,58000
PFL,20151203,1.162,50725
PGC,20151203,0.65,383911
PGF,20151203,1.035,299171
PGH,20151203,4.76,859474
PGI,20151203,0.093,44011
PGM,20151203,0.051,300000
PGY,20151203,0.001,3164285
PIC,20151203,0.98,35150
PIO,20151203,0.015,250000
PIQ,20151203,0.31,8248
PLH,20151203,0.081,3030
PLP,20151203,0.005,9347912
