Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2015-01-08,ABC,3.62,3.64,3.6,3.63,821674,,3.51766666667,3.41044444444
2015-01-09,ABC,3.65,3.67,3.615,3.67,895369,,3.52566666667,3.41088888889
2015-01-12,ABC,3.65,3.69,3.63,3.66,895728,,3.53133333333,3.41166666667
2015-01-13,ABC,3.66,3.71,3.65,3.71,1546697,,3.53833333333,3.413
2015-01-14,ABC,3.7,3.72,3.62,3.64,1370751,,3.54533333333,3.41366666667
2015-01-15,ABC,3.61,3.65,3.605,3.61,1328427,,3.55166666667,3.41411111111
2015-01-16,ABC,3.61,3.645,3.54,3.57,1468845,,3.55466666667,3.41433333333
2015-01-19,ABC,3.6,3.65,3.58,3.58,1292147,,3.55733333333,3.415
2015-01-20,ABC,3.58,3.635,3.57,3.59,1369200,,3.55966666667,3.41644444444
2015-01-21,ABC,3.6,3.72,3.59,3.67,1006611,,3.563,3.41811111111
2015-01-22,ABC,3.67,3.67,3.5,3.53,1858311,,3.561,3.41888888889
2015-01-23,ABC,3.57,3.595,3.54,3.56,1223632,,3.56166666667,3.42155555556
2015-01-27,ABC,3.56,3.63,3.56,3.6,882443,,3.56366666667,3.42444444444
2015-01-28,ABC,3.58,3.6,3.55,3.59,701251,,3.56666666667,3.42766666667
2015-01-29,ABC,3.57,3.63,3.54,3.62,1026415,,3.57133333333,3.43144444444
2015-01-30,ABC,3.63,3.65,3.58,3.58,1188490,,3.57666666667,3.435
2015-02-02,ABC,3.59,3.68,3.56,3.65,1112574,,3.58466666667,3.43944444444
2015-02-03,ABC,3.67,3.75,3.66,3.74,1637605,,3.596,3.44433333333
2015-02-04,ABC,3.77,3.84,3.77,3.82,2005590,,3.611,3.45011111111
2015-02-05,ABC,3.81,3.85,3.78,3.85,1637751,,3.62366666667,3.45633333333
2015-02-06,ABC,3.84,3.9,3.79,3.87,1479222,,3.63433333333,3.46322222222
2015-02-09,ABC,3.87,3.91,3.84,3.89,1167100,,3.64633333333,3.47077777778
2015-02-10,ABC,3.88,3.89,3.84,3.88,837046,,3.65833333333,3.47766666667
2015-02-11,ABC,3.88,3.92,3.855,3.86,879698,,3.66666666667,3.48455555556
2015-02-12,ABC,3.9,3.91,3.82,3.84,1137287,,3.67533333333,3.49122222222
2015-02-13,ABC,3.83,3.92,3.83,3.92,982823,,3.687,3.49888888889
2015-02-16,ABC,3.9,3.93,3.89,3.9,1092690,,3.696,3.50655555556
2015-02-17,ABC,3.91,3.92,3.84,3.87,1163976,,3.70333333333,3.51388888889
2015-02-18,ABC,3.87,3.93,3.85,3.92,980386,,3.714,3.521
2015-02-19,ABC,3.88,3.9,3.8,3.83,1560814,,3.72166666667,3.52811111111
