Symbol, Date, Open, High, Low, Close, Volume
QHL,20140102,0.215,0.235,0.215,0.23,584300
QMN,20140102,0.013,0.013,0.013,0.013,5000
QNA,20140102,0.002,0.002,0.002,0.002,700000
QOZ,20140102,12.28,12.28,12.28,12.28,850
QRE,20140102,5.72,5.72,5.72,5.72,1800
QRX,20140102,0.745,0.85,0.745,0.8,331649
QUB,20140102,2.09,2.09,2.06,2.07,303980
RAU,20140102,0.014,0.014,0.014,0.014,458999
RBR,20140102,0.009,0.009,0.009,0.009,148213
RCB,20140102,20.3,20.37,20.3,20.37,2696
RCF,20140102,0.016,0.017,0.016,0.017,196000
RCG,20140102,0.75,0.75,0.745,0.747,422481
